type,release_year,runtime,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,lead_prod_country,prod_countries_cnt,main_genre,dbscan_clusters,name
MOVIE,1979,74,6.1,47.0,0.6,5.2,LB,3,documentation,-1,we are all for the fatherland
MOVIE,1960,158,6.4,84.0,0.792,6.3,IN,1,drama,13,singapore
MOVIE,1975,110,6.4,108.0,1.025,7.2,LB,1,drama,15,"beirut, oh beirut"
MOVIE,1976,124,7.2,780.0,1.858,5.3,DZ,2,music,-1,the return of the prodigal son
MOVIE,1973,131,5.1,41.0,1.948,3.8,IN,1,crime,16,khoon khoon
MOVIE,1974,162,6.5,237.0,1.532,5.3,IN,1,romance,17,manoranjan
MOVIE,1959,142,6.6,78.0,0.84,6.0,IN,1,romance,17,ujala
MOVIE,1980,93,7.8,78.0,0.6,5.0,CA,3,documentation,18,whispers
MOVIE,1976,135,4.6,14.0,0.62,6.0,IN,1,romance,17,chadi jawani budhe nu
MOVIE,1978,141,4.4,35.0,1.166,6.0,IN,1,drama,13,bandie
SHOW,1989,24,8.9,308824.0,130.213,8.301,US,1,comedy,19,seinfeld
MOVIE,1990,145,8.7,1131681.0,50.387,8.463,US,1,drama,0,goodfellas
MOVIE,1987,117,8.3,729274.0,32.937,8.1,US,2,war,12,full metal jacket
MOVIE,1984,139,8.3,345714.0,28.937,8.453,US,2,crime,6,once upon a time in america
MOVIE,1989,96,7.7,216199.0,15.123,7.4,US,1,comedy,10,when harry met sally...
MOVIE,1984,91,7.4,234068.0,48.358,7.3,GB,2,horror,20,a nightmare on elm street
MOVIE,1989,119,7.3,54946.0,11.69,7.2,US,1,comedy,10,steel magnolias
MOVIE,1984,97,6.7,124881.0,25.533,6.6,US,1,crime,6,police academy
MOVIE,1983,110,6.7,81922.0,23.418,6.8,US,1,horror,21,christine
SHOW,1982,51,6.9,34115.0,50.267,7.5,US,1,scifi,22,knight rider
SHOW,1984,10,6.5,5104.0,42.196,6.5,GB,1,animation,23,thomas & friends
SHOW,1989,23,7.1,35034.0,19.855,8.0,US,1,family,24,saved by the bell
MOVIE,1990,120,7.8,139240.0,12.23,7.8,US,1,drama,0,awakenings
SHOW,1983,26,6.7,3145.0,5.935,6.8,US,1,family,24,wheel of fortune
MOVIE,1989,97,7.5,185760.0,18.862,7.2,US,1,comedy,10,national lampoon's christmas vacation
MOVIE,1989,105,7.4,20680.0,19.449,7.3,US,1,drama,0,lean on me
MOVIE,1987,90,7.6,19757.0,7.992,7.3,US,1,comedy,10,eddie murphy raw
MOVIE,1986,84,6.7,14472.0,7.416,6.707,US,1,romance,7,she's gotta have it
SHOW,1989,24,6.5,2922.0,9.849,6.5,US,1,comedy,19,major dad
MOVIE,1981,116,4.9,8524.0,19.116,5.7,US,1,romance,7,endless love
SHOW,1981,14,7.4,3545.0,8.55,7.5,GB,1,animation,23,danger mouse
MOVIE,1988,119,7.3,1693.0,8.092,6.7,JP,1,scifi,25,mobile suit gundam: char's counterattack
MOVIE,1981,133,7.2,1274.0,13.125,7.2,JP,1,animation,26,mobile suit gundam ii: soldiers of sorrow
SHOW,1987,10,6.1,1785.0,37.647,7.2,GB,1,animation,23,fireman sam
MOVIE,1987,50,7.2,660.0,1.843,7.2,US,1,comedy,10,sam kinison: breaking the rules
MOVIE,1985,87,8.0,6399.0,7.81,8.1,AR,1,comedy,27,waiting for the hearse
MOVIE,1990,30,6.1,360.0,2.482,6.3,US,1,comedy,10,tim allen: men are pigs
MOVIE,1982,144,7.6,1236.0,12.741,7.5,JP,1,action,28,mobile suit gundam iii: encounters in space
MOVIE,1982,81,7.9,15230.0,6.833,7.4,GB,1,comedy,4,monty python live at the hollywood bowl
MOVIE,1982,106,6.4,1476.0,7.879,5.3,IN,1,drama,13,disco dancer
MOVIE,1990,174,7.6,8947.0,4.062,6.5,IN,1,drama,13,agneepath
MOVIE,1989,72,8.1,1522.0,1.801,6.9,GB,1,comedy,4,parrot sketch not included: twenty years of monty python
MOVIE,1988,100,6.7,502.0,1.485,6.2,US,1,drama,0,too young the hero
MOVIE,1988,120,5.9,387.0,1.01,5.8,US,1,thriller,5,a stoning in fulham county
MOVIE,1989,102,7.2,863.0,1.981,5.9,US,1,drama,0,the ryan white story
MOVIE,1990,172,6.6,5316.0,3.992,6.5,IN,1,drama,13,dil
MOVIE,1986,100,7.0,212.0,1.603,7.0,US,1,crime,6,adam: his song continues
MOVIE,1988,100,6.0,921.0,2.296,6.1,US,1,drama,0,the george mckenna story
MOVIE,1990,94,5.6,207.0,2.444,4.9,US,1,drama,0,in defense of a married man
MOVIE,1989,162,5.4,197.0,1.418,6.0,IN,1,drama,13,mujrim
MOVIE,1988,148,5.1,92.0,1.374,5.0,IN,1,action,29,aakhri adaalat
MOVIE,1989,105,6.5,658.0,0.817,5.3,FR,2,drama,30,"alexandria, again and forever"
MOVIE,1987,100,6.3,360.0,2.76,6.8,US,1,drama,0,strange voices
MOVIE,1986,159,5.2,125.0,3.366,5.0,IN,1,action,29,jaal
MOVIE,1988,100,7.2,144.0,2.246,8.0,US,1,drama,0,quiet victory: the charlie wedemeyer story
MOVIE,1984,160,6.1,297.0,6.052,5.8,IN,1,romance,17,sohni mahiwal
MOVIE,1983,151,6.3,70.0,0.986,7.0,IN,1,family,31,ek jaan hain hum
MOVIE,1982,129,7.3,1126.0,1.77,6.7,EG,1,drama,11,an egyptian story
MOVIE,1982,108,6.3,152.0,1.956,5.5,FR,2,war,-1,the little wars
MOVIE,1990,100,6.1,464.0,2.075,5.3,US,1,drama,0,unspeakable acts
SHOW,2000,48,7.4,24687.0,54.19,7.4,US,1,reality,32,survivor
MOVIE,1996,110,7.1,420673.0,41.115,6.9,US,1,thriller,5,mission: impossible
SHOW,1997,44,8.4,90196.0,88.851,8.3,CA,2,scifi,33,stargate sg-1
MOVIE,1995,127,8.6,1606270.0,51.633,8.352,US,1,crime,6,se7en
SHOW,1997,22,7.4,198.0,115.356,7.633,JP,1,action,34,pokémon
MOVIE,1997,156,7.9,261563.0,20.436,7.6,US,1,drama,0,boogie nights
MOVIE,1994,142,8.8,2021343.0,63.449,8.478,US,1,drama,0,forrest gump
MOVIE,2000,103,8.3,841435.0,25.203,7.8,US,2,crime,6,snatch
MOVIE,1999,139,7.4,207524.0,13.78,7.2,US,1,thriller,5,the talented mr. ripley
SHOW,1999,23,8.8,117129.0,143.457,8.764,JP,1,animation,35,one piece
SHOW,1998,40,7.8,3362.0,18.075,7.7,US,1,reality,32,the challenge
MOVIE,1997,194,7.9,1146825.0,155.683,7.878,US,1,drama,0,titanic
SHOW,1998,25,8.9,115448.0,35.402,8.522,JP,1,animation,35,cowboy bebop
MOVIE,1997,129,7.3,291452.0,29.5,6.993,US,1,scifi,36,starship troopers
MOVIE,2000,123,6.1,337987.0,29.392,6.1,US,1,thriller,5,mission: impossible ii
MOVIE,1994,107,7.3,379999.0,31.852,6.6,US,1,comedy,10,dumb and dumber
SHOW,1995,24,8.5,66629.0,49.27,8.637,JP,1,drama,37,neon genesis evangelion
MOVIE,1997,106,7.8,300701.0,17.789,7.553,US,1,scifi,36,gattaca
MOVIE,1994,111,8.5,1137357.0,51.406,8.323,US,2,crime,6,léon: the professional
SHOW,2000,46,8.2,121462.0,58.578,7.827,US,1,comedy,19,gilmore girls
MOVIE,1994,118,7.3,11.0,21.933,7.1,US,1,thriller,5,natural born killers
MOVIE,1995,107,6.5,93767.0,13.056,6.5,JP,2,action,28,the quick and the dead
MOVIE,1998,119,6.7,211635.0,21.724,6.643,US,1,comedy,10,you've got mail
SHOW,1993,22,6.5,22110.0,19.699,6.8,US,1,action,38,power rangers
MOVIE,1999,93,6.4,215053.0,26.848,6.45,US,1,drama,0,big daddy
MOVIE,1998,104,6.1,58670.0,10.108,6.3,US,1,fantasy,39,vampires
SHOW,1998,22,7.3,21113.0,33.504,7.358,JP,1,scifi,40,yu-gi-oh!
MOVIE,1997,127,7.7,303868.0,22.225,7.5,US,1,drama,0,donnie brasco
SHOW,1994,26,7.8,9829.0,16.83,7.8,CA,2,animation,41,the magic school bus
SHOW,1995,22,7.6,13493.0,63.687,7.9,US,2,scifi,22,goosebumps
SHOW,2000,25,7.9,15823.0,62.355,8.6,JP,1,scifi,40,inuyasha
MOVIE,1992,123,7.2,59854.0,19.58,7.1,US,1,drama,0,a river runs through it
MOVIE,1999,127,7.3,183154.0,20.424,7.6,DE,2,drama,42,"girl, interrupted"
MOVIE,1993,131,6.4,150498.0,22.196,6.379,US,1,action,43,last action hero
SHOW,1994,22,7.5,7718.0,6.688,8.4,US,1,comedy,19,all that
MOVIE,1991,103,6.9,80590.0,20.545,7.4,US,1,drama,0,my girl
MOVIE,1994,191,6.7,50774.0,14.677,6.751,US,1,western,9,wyatt earp
MOVIE,1996,115,6.1,110921.0,19.437,6.0,US,2,thriller,5,eraser
MOVIE,1997,87,8.0,53152.0,32.569,8.4,JP,1,action,28,neon genesis evangelion: the end of evangelion
MOVIE,1997,94,5.9,49377.0,12.537,6.1,US,1,comedy,10,vegas vacation
MOVIE,1993,128,7.2,102916.0,19.8,6.973,US,1,drama,0,in the line of fire
MOVIE,1994,115,7.3,58178.0,13.683,7.314,US,1,drama,0,little women
MOVIE,1998,131,6.5,105286.0,24.205,6.5,US,1,thriller,5,u.s. marshals
SHOW,1992,28,3.8,9624.0,14.641,4.9,US,1,comedy,19,barney & friends
MOVIE,1997,89,4.8,104213.0,34.405,5.1,PE,3,horror,-1,anaconda
